"neighbourhood","amenities"
"Buttes-Montmartre","Heating"
"Buttes-Montmartre","Kitchen"
"Buttes-Montmartre","Washer"
"Buttes-Montmartre","Wifi"
"Buttes-Montmartre","Long term stays allowed"
"Buttes-Montmartre","Shampoo"
"Buttes-Montmartre","Heating"
"Buttes-Montmartre","Kitchen"
"Buttes-Montmartre","Essentials"
"Buttes-Montmartre","Washer"
"Buttes-Montmartre","Dryer"
"Buttes-Montmartre","Wifi"
"Buttes-Montmartre","Long term stays allowed"
"Elysee","Heating"
"Elysee","TV"
"Elysee","Kitchen"
"Elysee","Washer"
"Elysee","Wifi"
"Elysee","Long term stays allowed"
"Vaugirard","Heating"
"Vaugirard","TV"
"Vaugirard","Kitchen"
"Vaugirard","Wifi"
"Vaugirard","Long term stays allowed"
"Passy","Heating"
"Passy","TV"
"Passy","Kitchen"
"Passy","Essentials"
"Passy","Hair dryer"
"Passy","Washer"
"Passy","Dryer"
"Passy","Bathtub"
"Passy","Wifi"
"Passy","Elevator"
"Passy","Long term stays allowed"
"Passy","Cable TV"
"Temple","Heating"
"Temple","TV"
"Temple","Kitchen"
"Temple","Essentials"
"Temple","Washer"
"Temple","Smoke alarm"
"Temple","Wifi"
"Temple","Long term stays allowed"
"Temple","Cable TV"
"Popincourt","Shampoo"
"Popincourt","TV"
"Popincourt","Kitchen"
"Popincourt","Washer"
"Popincourt","Smoke alarm"
"Popincourt","Wifi"
"Popincourt","Fire extinguisher"
"Popincourt","Long term stays allowed"
"Popincourt","Heating"
"Popincourt","TV"
"Popincourt","Kitchen"
"Popincourt","Essentials"
"Popincourt","Washer"
"Popincourt","Dryer"
"Popincourt","Smoke alarm"
"Popincourt","Wifi"
"Popincourt","Long term stays allowed"
"Buttes-Chaumont","Paid parking off premises"
"Buttes-Chaumont","Shampoo"
"Buttes-Chaumont","Heating"
"Buttes-Chaumont","TV"
"Buttes-Chaumont","Iron"
"Buttes-Chaumont","Kitchen"
"Buttes-Chaumont","Hair dryer"
"Buttes-Chaumont","Essentials"
"Buttes-Chaumont","Washer"
"Buttes-Chaumont","Hot water"
"Buttes-Chaumont","Hangers"
"Buttes-Chaumont","Smoke alarm"
"Buttes-Chaumont","Wifi"
"Buttes-Chaumont","Long term stays allowed"
"Buttes-Chaumont","Dedicated workspace"
"Buttes-Chaumont","Host greets you"
"Buttes-Chaumont","Cable TV"
"Opera","Heating"
"Opera","TV"
"Opera","Iron"
"Opera","Kitchen"
"Opera","Essentials"
"Opera","Hair dryer"
"Opera","Washer"
"Opera","Hangers"
"Opera","Wifi"
"Opera","Elevator"
"Opera","Long term stays allowed"
"Opera","Dedicated workspace"
"Opera","Cable TV"
"Gobelins","Heating"
"Gobelins","Kitchen"
"Gobelins","Essentials"
"Gobelins","Washer"
"Gobelins","Carbon monoxide alarm"
"Gobelins","Smoke alarm"
"Gobelins","Wifi"
"Gobelins","Long term stays allowed"
"Gobelins","Cable TV"
"Hotel-de-Ville","Shampoo"
"Hotel-de-Ville","Heating"
"Hotel-de-Ville","TV"
"Hotel-de-Ville","Kitchen"
"Hotel-de-Ville","Essentials"
"Hotel-de-Ville","Washer"
"Hotel-de-Ville","Dryer"
"Hotel-de-Ville","Smoke alarm"
"Hotel-de-Ville","Wifi"
"Hotel-de-Ville","Long term stays allowed"
"Hotel-de-Ville","Cable TV"
"Pantheon","Heating"
"Pantheon","Iron"
"Pantheon","Kitchen"
"Pantheon","Essentials"
"Pantheon","Hair dryer"
"Pantheon","Hangers"
"Pantheon","Smoke alarm"
"Pantheon","Wifi"
"Pantheon","Long term stays allowed"
"Pantheon","Dedicated workspace"
"Enclos-St-Laurent","Dishwasher"
"Enclos-St-Laurent","Essentials"
"Enclos-St-Laurent","Stove"
"Enclos-St-Laurent","Hot water"
"Enclos-St-Laurent","Hangers"
"Enclos-St-Laurent","Smoke alarm"
"Enclos-St-Laurent","Wifi"
"Enclos-St-Laurent","Long term stays allowed"
"Enclos-St-Laurent","Dedicated workspace"
"Enclos-St-Laurent","TV"
"Enclos-St-Laurent","Iron"
"Enclos-St-Laurent","Dryer"
"Enclos-St-Laurent","Refrigerator"
"Enclos-St-Laurent","Oven"
"Enclos-St-Laurent","Dishes and silverware"
"Enclos-St-Laurent","Heating"
"Enclos-St-Laurent","Kitchen"
"Enclos-St-Laurent","Coffee maker"
"Enclos-St-Laurent","Washer"
"Enclos-St-Laurent","Cooking basics"
"Enclos-St-Laurent","Paid parking off premises"
"Enclos-St-Laurent","Garden or backyard"
"Enclos-St-Laurent","Bed linens"
"Enclos-St-Laurent","Carbon monoxide alarm"
"Enclos-St-Laurent","Cleaning before checkout"
"Enclos-St-Laurent","Elevator"
"Elysee","Heating"
"Elysee","TV"
"Elysee","Iron"
"Elysee","Kitchen"
"Elysee","Essentials"
"Elysee","Hair dryer"
"Elysee","Hangers"
"Elysee","Wifi"
"Elysee","Elevator"
"Elysee","Long term stays allowed"
"Popincourt","Heating"
"Popincourt","TV"
"Popincourt","Iron"
"Popincourt","Kitchen"
"Popincourt","Essentials"
"Popincourt","Hair dryer"
"Popincourt","Washer"
"Popincourt","Hangers"
"Popincourt","Smoke alarm"
"Popincourt","Wifi"
"Popincourt","Long term stays allowed"
"Popincourt","Dedicated workspace"
"Batignolles-Monceau","Heating"
"Batignolles-Monceau","TV"
"Batignolles-Monceau","Kitchen"
"Batignolles-Monceau","Essentials"
"Batignolles-Monceau","Hair dryer"
"Batignolles-Monceau","Washer"
"Batignolles-Monceau","Smoke alarm"
"Batignolles-Monceau","Wifi"
"Batignolles-Monceau","Long term stays allowed"
"Popincourt","Heating"
"Popincourt","TV"
"Popincourt","Iron"
"Popincourt","Kitchen"
"Popincourt","Essentials"
"Popincourt","Hair dryer"
"Popincourt","Washer"
"Popincourt","Smoke alarm"
"Popincourt","Wifi"
"Popincourt","Long term stays allowed"
"Popincourt","Dedicated workspace"
"Enclos-St-Laurent","Heating"
"Enclos-St-Laurent","Iron"
"Enclos-St-Laurent","Kitchen"
"Enclos-St-Laurent","Essentials"
"Enclos-St-Laurent","Smoke alarm"
"Enclos-St-Laurent","Wifi"
"Enclos-St-Laurent","Elevator"
"Enclos-St-Laurent","Long term stays allowed"
"Enclos-St-Laurent","Dedicated workspace"
"Gobelins","Heating"
"Gobelins","TV"
"Gobelins","Iron"
"Gobelins","Kitchen"
"Gobelins","Essentials"
"Gobelins","Hair dryer"
"Gobelins","Washer"
"Gobelins","Hangers"
"Gobelins","Smoke alarm"
"Gobelins","Wifi"
"Gobelins","Long term stays allowed"
"Batignolles-Monceau","Heating"
"Batignolles-Monceau","Iron"
"Batignolles-Monceau","Indoor fireplace"
"Batignolles-Monceau","Kitchen"
"Batignolles-Monceau","Essentials"
"Batignolles-Monceau","Hangers"
"Batignolles-Monceau","Smoke alarm"
"Batignolles-Monceau","Wifi"
"Batignolles-Monceau","Long term stays allowed"
"Batignolles-Monceau","Dedicated workspace"
"Opera","Heating"
"Opera","TV"
"Opera","Iron"
"Opera","Kitchen"
"Opera","Essentials"
"Opera","Washer"
"Opera","Dryer"
"Opera","Smoke alarm"
"Opera","Wifi"
"Opera","Long term stays allowed"
"Opera","Dedicated workspace"
"Opera","TV"
"Opera","Hair dryer"
"Opera","Iron"
"Opera","Hangers"
"Opera","Smoke alarm"
"Opera","Kitchen"
"Opera","Cable TV"
"Opera","Dedicated workspace"
"Opera","Heating"
"Opera","Long term stays allowed"
"Opera","Shampoo"
"Opera","Elevator"
"Opera","Essentials"
"Opera","Washer"
"Opera","Wifi"
"Luxembourg","Washer"
"Luxembourg","Elevator"
"Luxembourg","Wifi"
"Luxembourg","Kitchen"
"Luxembourg","Essentials"
"Luxembourg","Long term stays allowed"
"Luxembourg","TV"
"Temple","Iron"
"Temple","Shampoo"
"Temple","Heating"
"Temple","Washer"
"Temple","Hair dryer"
"Temple","Dedicated workspace"
"Temple","Smoke alarm"
"Temple","Cable TV"
"Temple","Wifi"
"Temple","Kitchen"
"Temple","Essentials"
"Temple","Hangers"
"Temple","Long term stays allowed"
"Temple","TV"
"Temple","Breakfast"
"Reuilly","Shampoo"
"Reuilly","Heating"
"Reuilly","Washer"
"Reuilly","Dryer"
"Reuilly","Dedicated workspace"
"Reuilly","Smoke alarm"
"Reuilly","Wifi"
"Reuilly","Kitchen"
"Reuilly","Elevator"
"Reuilly","Essentials"
"Reuilly","Hangers"
"Reuilly","Long term stays allowed"
"Reuilly","TV"
"Batignolles-Monceau","Shampoo"
"Batignolles-Monceau","Heating"
"Batignolles-Monceau","Washer"
"Batignolles-Monceau","Wifi"
"Batignolles-Monceau","Kitchen"
"Batignolles-Monceau","Essentials"
"Batignolles-Monceau","Hangers"
"Batignolles-Monceau","Long term stays allowed"
"Batignolles-Monceau","TV"
"Enclos-St-Laurent","Iron"
"Enclos-St-Laurent","Shampoo"
"Enclos-St-Laurent","Heating"
"Enclos-St-Laurent","Washer"
"Enclos-St-Laurent","Hair dryer"
"Enclos-St-Laurent","Dedicated workspace"
"Enclos-St-Laurent","Smoke alarm"
"Enclos-St-Laurent","Wifi"
"Enclos-St-Laurent","Kitchen"
"Enclos-St-Laurent","Essentials"
"Enclos-St-Laurent","Hangers"
"Enclos-St-Laurent","Long term stays allowed"
"Enclos-St-Laurent","TV"
"Enclos-St-Laurent","Carbon monoxide alarm"
"Buttes-Montmartre","Iron"
"Buttes-Montmartre","Heating"
"Buttes-Montmartre","Washer"
"Buttes-Montmartre","Elevator"
"Buttes-Montmartre","Hair dryer"
"Buttes-Montmartre","Wifi"
"Buttes-Montmartre","Kitchen"
"Buttes-Montmartre","Essentials"
"Buttes-Montmartre","Long term stays allowed"
"Buttes-Montmartre","Hangers"
